group_id,attempts,successes
G1,4,3
G2,16,8
G3,14,9
G4,10,2
G5,10,6
G6,18,14
G7,4,3
G8,15,3
G9,6,4
G10,4,1
G11,12,6
G12,20,17
G13,16,2
G14,16,7
G15,15,9
G16,17,10
G17,12,5
G18,5,2
G19,18,5
G20,11,4
G21,12,4
G22,9,7
G23,6,1
G24,19,19
G25,17,7
G26,14,9
G27,10,1
G28,17,10
G29,12,2
G30,10,6
G31,11,6
G32,7,4
G33,4,3
G34,12,8
G35,18,9
G36,4,0
G37,18,11
G38,17,11
G39,7,4
G40,14,5
G41,5,2
G42,16,10
G43,15,6
G44,9,5
G45,4,1
G46,20,18
G47,11,4
G48,19,15
G49,15,1
G50,17,14
G51,16,12
G52,6,6
G53,9,8
G54,11,7
G55,11,3
G56,3,2
G57,12,6
G58,5,0
G59,16,7
G60,15,7
G61,19,16
G62,16,11
G63,9,3
G64,20,6
G65,10,1
G66,8,3
G67,19,13
G68,9,5
G69,4,3
G70,11,5
G71,17,8
G72,6,4
G73,11,4
G74,5,5
G75,15,5
G76,11,5
G77,8,2
G78,7,5
G79,13,8
G80,15,11
G81,19,4
G82,10,4
G83,5,0
G84,17,17
G85,14,3
G86,15,6
G87,4,4
G88,8,3
G89,16,11
G90,17,10
G91,10,2
G92,17,14
G93,18,8
G94,9,9
G95,19,7
G96,8,5
G97,7,6
G98,15,6
G99,14,10
G100,5,1
